,candidate,Senate_votes,total_votes,Biden_votes,senatePRC,bidenPRC,difference
"Idaho, Custer County",Paulette Jordan,603,2708,603,22.26735598,22.26735598,0
"Idaho, Elmore County",Paulette Jordan,2814,10119,2601,27.80907204,25.70412096,-2.104951082
"Idaho, Franklin County",Paulette Jordan,585,6614,657,8.844874509,9.933474448,1.08859994
"Idaho, Fremont County",Paulette Jordan,1001,6706,998,14.92693111,14.88219505,-0.044736057
"Idaho, Gem County",Paulette Jordan,1957,9912,1803,19.74374496,18.19007264,-1.553672316
"Idaho, Gooding County",Paulette Jordan,1335,6039,1256,22.10630899,20.79814539,-1.308163603
"Idaho, Idaho County",Paulette Jordan,1532,9481,1561,16.15863306,16.46450796,0.305874908
"Idaho, Jefferson County",Paulette Jordan,1647,14066,1661,11.70908574,11.80861652,0.099530783
"Idaho, Jerome County",Paulette Jordan,1978,7788,1893,25.39804828,24.30662558,-1.091422702
"Idaho, Kootenai County",Paulette Jordan,22945,87955,24312,26.08720368,27.64140754,1.554203854
"Idaho, Lemhi County",Paulette Jordan,1020,4702,1032,21.69289664,21.94810719,0.255210549
"Idaho, Lewis County",Paulette Jordan,357,1848,349,19.31818182,18.88528139,-0.432900433
"Idaho, Lincoln County",Paulette Jordan,470,1931,414,24.33972035,21.43966857,-2.900051787
"Idaho, Madison County",Paulette Jordan,2288,16941,2666,13.50569624,15.73696948,2.231273242
"Idaho, Minidoka County",Paulette Jordan,1587,7923,1550,20.03029156,19.56329673,-0.466994825
"Idaho, Nez Perce County",Paulette Jordan,6510,20836,6686,31.24400077,32.08869265,0.844691879
"Idaho, Oneida County",Paulette Jordan,253,2414,249,10.48053024,10.31483016,-0.165700083
"Idaho, Owyhee County",Paulette Jordan,910,4741,816,19.19426281,17.21155874,-1.982704071
"Idaho, Payette County",Paulette Jordan,2308,11233,2161,20.54660376,19.23795958,-1.308644173
"Idaho, Power County",Paulette Jordan,876,3055,865,28.67430442,28.31423895,-0.360065466
"Idaho, Shoshone County",Paulette Jordan,1747,5929,1693,29.46533985,28.55456232,-0.910777534
"Idaho, Twin Falls County",Paulette Jordan,9776,36040,9391,27.1254162,26.05715871,-1.068257492
"Idaho, Valley County",Paulette Jordan,2984,7036,2976,42.41046049,42.29675952,-0.113700966
"Idaho, Washington County",Paulette Jordan,1147,5351,1073,21.43524575,20.05232667,-1.382919081
"Illinois, Adams County",Dick Durbin,8835,33277,8633,26.54986928,25.94284341,-0.607025874
"Illinois, Alexander County",Dick Durbin,1218,2550,1114,47.76470588,43.68627451,-4.078431373
